question_id,source_question_number,source_section,source_heading,old_difficulty,old_tags,answer_status,marks_total,image_paths,duplicate_status,duplicate_reference,题目边界完整,英文题干准确,中文题干自然且含义一致,公式符号单位准确,小问顺序与分值完整,必要图片正确,答案与题目对应,答案数学复核结论,新主类型,新标签,新Level,判级证据,疑点,订正内容,订正证据,复核状态,自动验收结果,Joy审批状态,record_status
M2QD-DA-TRAIN-Q3,TRAIN-Q3,应试训练,应试训练 3 Q3（完整题）,3,微分的应用；微分以及微分公式；极值；有理函数,source_provided,,,adapted,M2QD-DA-TRAIN-Q7,通过,通过,通过,通过,有疑点,不适用,通过,通过,极值与曲线性质,极小点,2,求导、解唯一驻点并作一次符号判别即可完成。,正式记录仍缺总分4及正确答案来源映射。,marks_total: 4；solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第98–126行；第106、108、117、125行各1分，第126行为（4）。；甲部答案 MMD 第98–126行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第98–126行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q4,TRAIN-Q4,应试训练,应试训练 3 Q4（完整题）,4,微分的应用；微分以及微分公式；极值；证明题；对数函数,source_provided,6,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,极大点,3,先作极值判别，再把最大值不等式转换为指数不等式，推理链跨两个小问。,答案来源档案及成员映射尚未在正式记录中改正。,solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第127–176行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第127–176行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q5,TRAIN-Q5,应试训练,应试训练 3 Q5（完整题）,3,微分的应用；微分以及微分公式；全局极值；最大值；多项式,source_provided,4,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,最值与最优化,极大点,3,须处理三个驻点、比较两个局部极大值，并确认无穷远行为以判定全局最大值。,答案来源档案及成员映射尚未在正式记录中改正。,solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第177–199行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第177–199行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q6,TRAIN-Q6,应试训练,应试训练 3 Q6（完整题）,4,微分的应用；微分以及微分公式；全局极值；最小值；端点检验；多项式,source_provided,4,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,最值与最优化,极小点；区间最值；端点比较,3,除驻点判别外，还必须处理半闭定义域的端点并比较候选值。,答案来源档案及成员映射尚未在正式记录中改正。,solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第200–227行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第200–227行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q7,TRAIN-Q7,应试训练,应试训练 3 Q7（完整题）,3,微分的应用；微分以及微分公式；二阶导数；拐点；有理函数,source_provided,,,adapted,M2QD-DA-TRAIN-Q3,通过,通过,通过,通过,有疑点,不适用,通过,需订正,极值与曲线性质,拐点；凹凸性,3,须连续求两阶导数、因式分解，并验证二阶导数在两个候选点均变号。,正式记录仍缺总分6、完整最终结论及正确答案来源映射。,"marks_total: 6；solution_original: 全部拐点为 $(-1,0)$ 与 $(1,0)$。；solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0",甲部答案 MMD 第228–258行；各评分标记合计6分，第258行为（6）。；甲部答案 MMD 第251–258行在两个函数值后直接进入评分及下一题；独立复算 $f''$ 在 $x=\pm1$ 两处均变号。；甲部答案 MMD 第228–258行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第228–258行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q8,TRAIN-Q8,应试训练,应试训练 3 Q8（完整题）,4,微分的应用；微分以及微分公式；二阶导数；拐点；证明题；指数函数,source_provided,6,,adapted,DSE-2022-Q4,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,拐点；凹凸性,3,须两次使用乘积及链式法则，再解二次方程并用变号判定两处拐点。,答案来源档案及成员映射尚未在正式记录中改正。,solution_original: 求得两个根的步骤只保留一个1M，使(a)3分、(b)3分，总分为6分。；solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第259–298行；v116_import_snapshot.json 的 train-q08-duplicate-mark-token 亦记录同一出版社评分标记校订。；甲部答案 MMD 第259–298行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第259–298行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q9,TRAIN-Q9,应试训练,应试训练 3 Q9（完整题）,2,微分的应用；微分以及微分公式；渐近线；有理函数,source_provided,3,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,渐近线,2,检查分母零点并作一次多项式除法即可得到两条渐近线。,答案来源档案及成员映射尚未在正式记录中改正。,solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第300–311行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第300–311行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q10,TRAIN-Q10,应试训练,应试训练 3 Q10（完整题）,4,微分的应用；微分以及微分公式；渐近线；二阶导数；拐点；有理函数,source_provided,6,,adapted,DSE-2021-Q5,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,渐近线；拐点；凹凸性,4,须识别立方展开作关键化简，并跨渐近线、一阶导数、二阶导数及定义域整合判断。,答案来源档案及成员映射尚未在正式记录中改正。,solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第313–334行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第313–334行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q11,TRAIN-Q11,应试训练,应试训练 3 Q11（完整题）,5,微分的应用；微分以及微分公式；极值；渐近线；拐点；曲线作图；有理函数,source_provided,8,,adapted,DSE-2013-Q5,通过,通过,已规范,通过,通过,不适用,通过,通过,极值与曲线性质,极大点；极小点；拐点；渐近线；曲线作图,4,须综合两阶导数符号、间断点、斜渐近线和极值信息完成整幅曲线。,答案来源档案及成员映射尚未在正式记录中改正。,question_text_zh: （“+”和“−”分别表示“正值”和“负值”。）；solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,题目 MMD 第871行；英文对应说明见第855行，符号表见第849–854行。；甲部答案 MMD 第336–365行；曲线图为 c2e97ff4-9258-43ff-802f-ac95d2c5c0e2-06_644_1010_242_343.jpg，SHA-256 0b12a704a1a6765e08d8f5ec77562a1f157fcfaab2739cf9b11f656ffc103814。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第336–365行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q12,TRAIN-Q12,应试训练,应试训练 3 Q12（完整题）,5,微分的应用；微分以及微分公式；极值；渐近线；拐点；曲线作图；有理函数,source_provided,8,,historical_reference,DSE-2013-Q5,通过,通过,已规范,通过,通过,不适用,通过,通过,极值与曲线性质,极大点；极小点；拐点；渐近线；曲线作图,4,须综合间断点、两阶导数符号、三条渐近线与偶对称性完成曲线全局分析。,答案来源档案及成员映射尚未在正式记录中改正。,question_text_zh: （“+”和“−”分别表示“正值”和“负值”。）；solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,题目 MMD 第905行；英文对应说明见第889行，符号表见第883–888行。；甲部答案 MMD 第367–383行；曲线图为 c2e97ff4-9258-43ff-802f-ac95d2c5c0e2-06_402_804_1622_347.jpg，SHA-256 23990703bb7a2d8b7da866001b01a80da8a3292cdd7f92d5a7872434996792ac。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第367–383行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q13,TRAIN-Q13,应试训练,应试训练 3 Q13（完整题）,3,微分的应用；微分以及微分公式；相关变化率；变率；水深,source_provided,,,new,,通过,通过,通过,通过,有疑点,不适用,通过,通过,变率,相关变化率；体积变化,2,体积关系及即时数据均已给出，只需一次链式相关变化率并处理漏出负号。,正式记录仍缺总分3及正确答案来源映射。,marks_total: 3；solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第385–405行；第392、402、403行各1分，第404行为（3）。；甲部答案 MMD 第385–405行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第385–405行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-TRAIN-Q14,TRAIN-Q14,应试训练,应试训练 3 Q14（完整题）,4,微分的应用；微分以及微分公式；相关变化率；变率；面积；对数函数,source_provided,5,,historical_reference,DSE-2016-Q3,通过,通过,通过,通过,通过,不适用,通过,通过,变率,相关变化率；面积变化；建立变量关系,3,须先建立面积及边长关于 $u$ 的两个关系，再连续转换两次变化率。,答案来源档案及成员映射尚未在正式记录中改正。,solution_source_file/solution_source_member: 微分的应用甲部.mmd.zip / c2e97ff4-9258-43ff-802f-ac95d2c5c0e2.mmd；solution_source_member_sha256: bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0,甲部答案 MMD 第407–448行完整出现本题答案。；直接解压计算甲部答案成员SHA-256，结果为bfd75702b5abff3f604bfeb722f6ab7cd6c23566d15ea550bbf05be1b4dbbeb0；本题答案见第407–448行。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-PARTA-Q1,PARTA-Q1,甲部特训,甲部应试特训 3 Q1（完整题）,3,微分的应用；微分以及微分公式；切线；隐函数求导,source_provided,4,,historical_reference,HKDSE Math M2 SP Q6,通过,通过,通过,通过,通过,不适用,通过,通过,切线与法线,已知切点求切线；隐函数求导,2,已知切点后作隐函数求导并写点斜式，属于数步直接应用。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q2,PARTA-Q2,甲部特训,甲部应试特训 3 Q2（完整题）,3,微分的应用；微分以及微分公式；切线；平行切线；多项式,source_provided,4,,historical_reference,HKDSE Math M2 PP Q9,通过,通过,通过,通过,通过,不适用,通过,通过,切线与法线,与指定直线平行的切线；切点未知,3,需由平行条件求出两个未知切点，再分别写出两条切线，属于多步骤标准题。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q3,PARTA-Q3,甲部特训,甲部应试特训 3 Q3（完整题）,5,微分的应用；微分以及微分公式；切线；截距；有理函数,source_provided,6,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,切线与法线,过指定点的切线；切点未知,4,需把给定截距转化为过定点条件，以未知切点建立切线约束并处理四次代数式。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q4,PARTA-Q4,甲部特训,甲部应试特训 3 Q4（完整题）,3,微分的应用；微分以及微分公式；极值；最大值；三角函数,source_provided,3,,historical_reference,DSE-2012-Q5,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,极大点,2,求导、解标准三角方程并作一次符号判别即可。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q5,PARTA-Q5,甲部特训,甲部应试特训 3 Q5（完整题）,3,微分的应用；微分以及微分公式；转向点；最小值；指数函数,source_provided,3,,historical_reference,DSE-2012-Q5,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,极小点,2,指数式求导后解一个直接驻点方程并分类，步骤常规。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q6,PARTA-Q6,甲部特训,甲部应试特训 3 Q6（完整题）,4,微分的应用；微分以及微分公式；全局极值；闭区间；指数函数,source_provided,5,,new,,通过,通过,通过,通过,通过,不适用,有疑点,需订正,最值与最优化,区间最值；端点比较,3,需找两个驻点并与闭区间两端点的函数值完整比较。,,solution_original: 补充：最大值为 $e^3$，在 $x=-1$ 处取得。,"答案原始MMD第614–626行；独立比较 $e^3,0,4/(9e^2),e^{-3}$ 得最大值 $e^3$。",audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
M2QD-DA-PARTA-Q7,PARTA-Q7,甲部特训,甲部应试特训 3 Q7（完整题）,4,微分的应用；微分以及微分公式；全局极值；闭区间；对数函数,source_provided,5,,adapted,2026-Q1,通过,通过,通过,通过,通过,不适用,通过,通过,最值与最优化,区间最值；端点比较,3,需处理对数函数驻点、闭区间条件及端点比较，属于标准多步骤最值题。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q8,PARTA-Q8,甲部特训,甲部应试特训 3 Q8（完整题）,4,微分的应用；微分以及微分公式；参数；极值；二阶导数；拐点；证明题；有理函数,source_provided,6,,historical_reference,DSE-2018-Q8,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,拐点,3,先由极值反求参数，再以二阶导数变号判定两个拐点，符合多步骤标准DSE题。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q9,PARTA-Q9,甲部特训,甲部应试特训 3 Q9（完整题）,4,微分的应用；微分以及微分公式；参数；极值；渐近线；有理函数,source_provided,7,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,极大点；极小点；渐近线,3,需由渐近线和截点反求参数，再连续处理斜渐近线与局部极值。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q10,PARTA-Q10,甲部特训,甲部应试特训 3 Q10（完整题）,4,微分的应用；微分以及微分公式；极值；拐点；曲线作图；多项式,source_provided,6,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,极大点；极小点；拐点；曲线作图,3,在限定区间内连续完成转向点、拐点与图像整合，属于多步骤标准曲线分析。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q11,PARTA-Q11,甲部特训,甲部应试特训 3 Q11（完整题）,5,微分的应用；微分以及微分公式；参数；单调性；证明题；拐点；渐近线；曲线作图；有理函数,source_provided,7,,new,,通过,通过,通过,通过,通过,不适用,通过,通过,极值与曲线性质,渐近线；拐点；曲线作图,4,需先由截距和渐近线反求参数，再整合单调性、拐点定义域与双支图像。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q12,PARTA-Q12,甲部特训,甲部应试特训 3 Q12（完整题）,4,微分的应用；微分以及微分公式；相关变化率；变率；圆锥；面积；体积,source_provided,7,,historical_reference,DSE-2017-Q6,通过,通过,通过,通过,通过,不适用,通过,通过,变率,相关变化率；几何量变化；面积变化；体积变化；建立变量关系,4,需以相似圆锥同时建立面积与体积关系，再串联两个相关变率。,,,,audit_passed,PASS_WITH_REVIEW,未确认,audit_passed
M2QD-DA-PARTA-Q13,PARTA-Q13,甲部特训,综合 应试技巧 Q13（完整题）,3,微分的应用；微分以及微分公式；基本原理求导；切线；斜率；不等式,source_provided,4,,historical_reference,DSE-2014-Q2,通过,通过,通过,通过,通过,不适用,有疑点,需订正,极值与曲线性质,,3,需从极限定义完整化简导数，再处理含定义域的有理不等式；受控标签表没有“基本原理求导/单调区间”专标签。,受控标签词表缺少“从基本原理求导”和“切线斜率为正的取值区间”对应标签；需Joy决定保持 tags=[]，或在后续词表版本增补受控标签。,solution_original: 补全差商化简：$\lim_{h\to0}(1-1/[x(x+h)])=1-1/x^2$，并注明 $x\ne0$。,答案原始MMD第868–880行后直接跳至(b)第881行；独立按导数定义化简得 $1-1/x^2$。,audit_pending,PASS_WITH_REVIEW,未确认,audit_pending
